NSC,NSC_SUB,DICT,REGION,1,2,3,4,5,6,7,8,9,10,11,12
63,B,3100,新北市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 
63,B,3200,桃園市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.23 ,6.77 
63,B,1200,新竹市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.12 ,3.88 
63,B,3300,新竹縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.27 ,4.73 
63,B,3500,苗栗縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.46 ,0.54 
63,B,1700,臺中市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.39 ,10.34 ,1.27 
63,B,3700,彰化縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.80 ,10.76 ,0.44 
63,B,3800,南投縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.16 ,9.50 ,2.34 
63,B,3900,雲林縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.53 ,9.85 ,1.61 
63,B,2200,嘉義市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.53 ,7.01 ,4.47 
63,B,4000,嘉義縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.21 ,7.33 ,1.46 
63,B,2100,臺南市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.04 ,0.90 ,10.00 ,1.06 
63,B,2200,高雄市,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.38 ,1.62 ,0.00 
63,B,4300,屏東縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.65 ,8.35 ,0.00 ,0.00 
63,B,4500,花蓮縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.62 ,9.14 ,2.24 
63,B,4600,臺東縣,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.66 ,9.55 ,1.78 
64,,,,1.13 ,1.15 ,1.04 ,1.07 ,1.06 ,1.02 ,1.02 ,1.00 ,0.85 ,0.92 ,0.87 ,0.87 
65,A,,,1.05 ,2.58 ,0.53 ,1.30 ,0.53 ,1.05 ,0.53 ,1.05 ,0.78 ,1.05 ,0.53 ,1.05 
65,B,,,1.05 ,2.58 ,0.53 ,1.30 ,0.53 ,1.05 ,0.53 ,1.05 ,0.78 ,1.05 ,0.53 ,1.05 
65,C,,,1.13 ,0.91 ,1.03 ,1.02 ,1.00 ,0.91 ,1.08 ,0.95 ,0.94 ,1.04 ,0.94 ,1.05 
66,,,,1.02 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 
54,A,,,1.06 ,0.94 ,1.04 ,0.95 ,0.93 ,1.09 ,0.97 ,1.02 ,1.03 ,1.01 ,0.99 ,0.98 
54,B,,,1.06 ,0.94 ,1.04 ,0.95 ,0.93 ,1.09 ,0.97 ,1.02 ,1.03 ,1.01 ,0.99 ,0.98 
55,A,,,0.75 ,0.48 ,0.66 ,0.66 ,0.67 ,0.90 ,2.55 ,1.66 ,1.14 ,0.55 ,0.66 ,1.33 
55,B,,,1.74 ,0.54 ,1.20 ,0.78 ,1.00 ,0.81 ,1.10 ,1.01 ,0.98 ,1.03 ,0.81 ,0.99 
56,B,,,0.99 ,0.85 ,0.99 ,0.98 ,1.03 ,0.95 ,1.00 ,1.09 ,1.02 ,1.06 ,1.02 ,1.02 
56,C,,,0.99 ,0.85 ,0.99 ,0.98 ,1.03 ,0.95 ,1.00 ,1.09 ,1.02 ,1.06 ,1.02 ,1.02 
79,,0100,臺北市,1.03 ,0.92 ,1.02 ,0.98 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.98 ,1.01 
79,,0200,高雄市,1.03 ,0.93 ,1.03 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.98 ,1.01 ,0.98 ,1.01 
79,,4200,高雄市,1.03 ,0.93 ,1.03 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.98 ,1.01 ,0.98 ,1.01 
79,,1100,基隆市,1.02 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.98 ,1.00 
79,,1200,新竹市,1.03 ,0.93 ,1.03 ,0.99 ,1.02 ,0.98 ,1.01 ,1.01 ,0.98 ,1.01 ,0.97 ,1.02 
79,,1700,臺中市,1.03 ,0.93 ,1.03 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.01 ,0.98 ,1.01 
79,,2100,臺南市,1.03 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.98 ,1.02 ,0.98 ,1.01 
79,,3600,臺中市,1.03 ,0.93 ,1.03 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.01 ,0.98 ,1.01 
79,,4100,臺南市,1.03 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.98 ,1.02 ,0.98 ,1.01 
79,,2200,嘉義市,1.04 ,0.94 ,1.04 ,0.99 ,1.02 ,0.99 ,1.01 ,1.01 ,0.98 ,1.01 ,0.98 ,1.01 
79,,3100,新北市,1.02 ,0.92 ,1.02 ,0.98 ,1.02 ,0.98 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.03 
79,,3200,桃園市,1.02 ,0.92 ,1.01 ,0.99 ,1.02 ,0.99 ,1.02 ,1.01 ,0.99 ,1.03 ,0.99 ,1.03 
79,,3300,新竹縣,1.04 ,0.94 ,1.04 ,1.00 ,1.02 ,0.98 ,1.01 ,1.01 ,0.98 ,1.01 ,0.98 ,1.01 
79,,3400,宜蘭縣,1.04 ,0.94 ,1.04 ,0.99 ,1.01 ,0.98 ,1.01 ,1.00 ,0.97 ,1.01 ,0.98 ,1.01 
79,,3500,苗栗縣,1.03 ,0.93 ,1.02 ,0.98 ,1.02 ,0.98 ,1.02 ,1.02 ,0.98 ,1.02 ,0.98 ,1.02 
79,,3700,彰化縣,1.03 ,0.92 ,1.01 ,0.98 ,1.01 ,0.98 ,1.01 ,1.02 ,0.99 ,1.03 ,0.99 ,1.01 
79,,3800,南投縣,1.03 ,0.93 ,1.03 ,0.98 ,1.01 ,0.98 ,1.01 ,1.01 ,0.98 ,1.03 ,0.99 ,1.03 
79,,3900,雲林縣,1.03 ,0.93 ,1.01 ,0.98 ,1.01 ,0.98 ,1.01 ,1.03 ,0.98 ,1.01 ,1.00 ,1.01 
79,,4000,嘉義縣,1.06 ,0.96 ,1.02 ,0.98 ,1.02 ,0.98 ,1.02 ,1.02 ,0.96 ,1.00 ,0.96 ,1.02 
79,,4300,屏東縣,1.04 ,0.94 ,1.04 ,0.99 ,1.01 ,0.98 ,1.01 ,1.00 ,0.99 ,1.02 ,0.99 ,1.02 
79,,4400,澎湖縣,1.00 ,0.90 ,1.00 ,0.97 ,1.00 ,0.97 ,1.00 ,1.00 ,0.97 ,1.05 ,1.06 ,1.09 
79,,4500,花蓮縣,1.01 ,0.91 ,1.01 ,0.98 ,1.01 ,0.98 ,1.01 ,1.03 ,1.00 ,1.03 ,1.00 ,1.03 
79,,4600,臺東縣,1.03 ,0.93 ,1.03 ,0.99 ,1.00 ,0.97 ,1.00 ,1.00 ,0.99 ,1.03 ,0.99 ,1.03 
79,,5000,金門縣,0.98 ,0.88 ,0.98 ,0.95 ,0.98 ,0.95 ,0.98 ,0.98 ,1.07 ,1.10 ,1.07 ,1.10 
79,,5100,連江縣,1.02 ,0.92 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 ,1.02 ,0.99 ,1.02 ,0.99 ,1.02 
80,,,,1.14 ,0.74 ,1.00 ,0.91 ,0.86 ,1.00 ,0.96 ,0.93 ,0.91 ,1.09 ,1.18 ,1.27 
81,A,,,1.14 ,0.76 ,1.08 ,0.97 ,1.11 ,0.96 ,0.97 ,1.01 ,0.93 ,1.10 ,0.98 ,0.99 
81,B,,,1.15 ,0.75 ,1.04 ,1.06 ,1.11 ,0.84 ,0.98 ,0.98 ,0.95 ,1.09 ,1.04 ,1.03 
81,C,,,1.09 ,0.81 ,1.01 ,1.04 ,1.07 ,1.00 ,1.01 ,0.99 ,0.92 ,1.05 ,0.98 ,1.04 
