dict,x,y,name
3125,333000,2764000,xinbeishishuangxiqu
3812,235000,2624000,nantouxianxinyixiang
5004,-20000,2722000,jinmenxianjinningxiang
3702,187000,2663000,zhanghuaxianlugangzhen
5300,200000,2716000,sea
4511,288000,2668000,hualianxianxiulinxiang
4509,287000,2602000,hualianxianruisuixiang
3106,307000,2757000,xinbeishixindianqu
3518,244000,2694000,miaolixiantaianxiang
4602,285000,2553000,taidongxianchenggongzhen
5300,353000,2718000,sea
3812,234000,2618000,nantouxianxinyixiang
4613,262000,2562000,taidongxianhaiduanxiang
5300,146000,2564000,sea
3412,304000,2706000,yilanxiannanaoxiang
4614,231000,2482000,taidongxiandarenxiang
5300,167000,2677000,sea
3813,251000,2638000,nantouxianrenaixiang
4613,234000,2541000,taidongxianhaiduanxiang
4207,192000,2518000,gaoxiongshidashuqu
5300,210000,2721000,sea
3404,334000,2760000,yilanxiantouchengzhen
4326,222000,2528000,pingdongxiansandemenxiang
5300,347000,2704000,sea
4511,298000,2659000,hualianxianxiulinxiang
4606,255000,2508000,taidongxiantaimalixiang
5300,160000,2495000,sea
3305,244000,2751000,xinzhuxianzhubeishi
3617,203000,2675000,taizhongshilongjingqu
5300,365000,2718000,sea
3119,313000,2753000,xinbeishishidingqu
5300,343000,2658000,sea
4111,199000,2576000,tainanshidongshanqu
5300,313000,2811000,sea
4011,188000,2596000,jiayixiantaibaoshi
5300,292000,2809000,sea
4227,225000,2579000,gaoxiongshinamaxiaqu
5300,251000,2776000,sea
3813,266000,2656000,nantouxianrenaixiang
3412,305000,2711000,yilanxiannanaoxiang
5300,340000,2676000,sea
4326,216000,2513000,pingdongxiansandemenxiang
3411,305000,2711000,yilanxiandatongxiang
4006,184000,2604000,jiayixianxingangxiang
4202,178000,2523000,gaoxiongshigangshanqu
5300,139000,2643000,sea
3812,241000,2626000,nantouxianxinyixiang
4107,176000,2562000,tainanshishanhuaqu
5300,339000,2680000,sea
5300,283000,2807000,sea
3404,341000,2763000,yilanxiantouchengzhen
4226,241000,2594000,gaoxiongshitaoyuanqu
3726,195000,2636000,zhanghuaxianxizhouxiang
4511,318000,2688000,hualianxianxiulinxiang
3722,195000,2636000,zhanghuaxianpitouxiang
4604,234000,2509000,taidongxianbeinanxiang
4226,236000,2579000,gaoxiongshitaoyuanqu
4327,225000,2520000,pingdongxianwutaixiang
3711,192000,2656000,zhanghuaxianfuxingxiang
4227,224000,2575000,gaoxiongshinamaxiaqu
5300,257000,2794000,sea
3716,192000,2656000,zhanghuaxianbuyanxiang
4511,297000,2675000,hualianxianxiulinxiang
3203,281000,2752000,taoyuanshidaxiqu
3411,292000,2706000,yilanxiandatongxiang
4103,190000,2585000,tainanshibaihequ
4227,226000,2578000,gaoxiongshinamaxiaqu
5300,167000,2511000,sea
4319,198000,2479000,pingdongxianlinbianxiang
4007,176000,2601000,jiayixianliujiaoxiang
4333,224000,2452000,pingdongxianmudanxiang
3812,254000,2617000,nantouxianxinyixiang
5300,174000,2678000,sea
4213,193000,2526000,gaoxiongshitianliaoqu
4003,195000,2611000,jiayixiandalinzhen
4305,194000,2503000,pingdongxianwandanxiang
4301,194000,2503000,pingdongxianpingdongshi
4126,186000,2552000,tainanshizuozhenqu
5300,167000,2668000,sea
4122,186000,2552000,tainanshishanshangqu
4208,188000,2514000,gaoxiongshirenwuqu
4333,230000,2447000,pingdongxianmudanxiang
4615,229000,2505000,taidongxianjinfengxiang
4507,301000,2620000,hualianxianguangfuxiang
4330,220000,2488000,pingdongxianlaiyixiang
1106,320000,2783000,jilongshianlequ
3313,271000,2736000,xinzhuxianjianshixiang
4304,221000,2426000,pingdongxianhengchunzhen
3411,305000,2723000,yilanxiandatongxiang
4207,188000,2514000,gaoxiongshidashuqu
3907,203000,2614000,yunlinxiangukengxiang
4018,241000,2595000,jiayixianalishanxiang
4510,286000,2568000,hualianxianfulixiang
5300,331000,2692000,sea
3605,211000,2687000,taizhongshishaluqu
5300,260000,2812000,sea
4226,249000,2577000,gaoxiongshitaoyuanqu
4008,164000,2600000,jiayixiandongshixiang
3717,201000,2651000,zhanghuaxianbuxinxiang
1203,244000,2736000,xinzhushixiqu
3506,233000,2729000,miaolixianhoulongzhen
4612,231000,2539000,taidongxianyanpingxiang
3408,320000,2726000,yilanxiandongshanxiang
3811,243000,2633000,nantouxianshuilixiang
4018,219000,2587000,jiayixianalishanxiang
4309,205000,2526000,pingdongxianligangxiang
3412,297000,2701000,yilanxiannanaoxiang
3620,222000,2665000,taizhongshidaliqu
5300,152000,2516000,sea
